,Name,style,IBU,ABV,Description
4446,Barrel-Aged Eirik Bloodaxe,Mead - Braggot,100,11.3,Eirik Bloodaxe Braggot Imperial IPA aged in bourb
4455,Ghost Bees,Mead - Braggot,25,15.6,Brandy 
4457,Ritualknife,Mead - Braggot,18,9.5,Ritual Knife is a brandy barrel aged bla
4458,Double Barrel Maple Braggot,Mead - Braggot,11,17.0,Mead - Braggot
4459,Dewi Sant,Mead - Braggot,30,13.5,Mead - Braggot
4460,Orange Blossom Braggot,Mead - Braggot,12,10.6,Made with 420lbs orange blo
4461,Winter Squash Porter,Mead - Braggot,33,8.4,Mead - Braggot
4462,MadCraft Nucleus,Mead - Braggot,25,11.9,"Braggot style ale brewed with Honey, Cacao Nibs, Roasted Chicory an"
4467,Honey Badger Braggot,Mead - Braggot,30,9.1,"Honey & blueberry, "
4468,Fenrir,Mead - Braggot,80,6.6,Mead - Braggot
4574,Nutmeg,Mead - Metheglin,14,13.0,Mead - Metheglin
4653,Bourbon Barrel Aged French Toast,Mead - Other,23,14.5,Barrel Aged
4780,Nemo,Mild - Dark,19,3.8,"Nemo is Our 3,8% English-Style Dark Mild Ale. 2017 GABF Bronze Medal Winner. It’s Fucking Nemo...Beer Flav"
4785,Dark English Mild: Beer That Tastes Like Beer,Mild - Dark,19,3.8,Mild - Dark
4786,Present Use Rubies,Mild - Dark,17,3.7,Mild - Dark
4787,Temperance,Mild - Dark,17,3.5,Mild - Dark
4788,Spectacle of Martyrdom,Mild - Dark,17,4.0,Mild - Dark
4792,Festival Mild,Mild - Other,27,4.8,Mild - Other
4801,Compensation,Mild - Dark,16,4.5,Mild - Dark
4802,First Mark,Mild - Dark,15,3.8,Mild - Dark
4803,Proper Hooligan,Mild - Dark,20,4.1,Mild - Dark
4805,Magister Dark Mild,Mild - Dark,20,3.6,Mild - Dark
4806,Muddy Thames,Mild - Other,24,5.3,"A traditionally English style beer, this will present somewhat flat to the American pallet and be a bready, dry type of malt fo"
4809,Where the Mild Things Are,Mild - Dark,18,4.0,Mild - Dark
4812,Pliable Foe,Mild - Dark,15,3.8,Mild - Dark
4813,Homunculus,Mild - Dark,21,3.5,Mild - Dark
4814,English-Style Mild,Mild - Other,25,3.9,Mild - Other
4817,Lil' Nigel,Mild - Dark,22,4.1,Mild - Dark
4821,St. Hubbin's English Summer Ale,Mild - Light,23,4.4,"Slight biscuit, mild pear, low to mild"
4823,Brawler,Mild - Light,12,4.2,Mild - Light
4826,Barrel Aged Druncle,Mild - Other,25,11.0,Mild - Other
4827,Me Llama Llama,Mild - Other,20,4.0,Mild - Other
4832,Coffee Compensation,Mild - Other,12,4.7,"Our GABF Gold Medal winning Compensation with a healthy dose of Organic Ethiopian Banko Natural Process beans, roasted by Kickapoo Roasters. This light coffee adds a great aroma and accentuates the fruity yeast character already found in this world-class English Mild. Read Less"
4833,Mamoot Mild Ale (w/ Fretboard Coffee),Mild - Other,10,4.0,Mild - Other
4834,Deez Nuts,Mild - Other,20,5.25,Hazelnut and peanut
4845,Imperial Mild Ale,Mild - Other,15,8.3,"Yeah, we know. It sounds contradictory but in fact, Imperial Milds, otherwise known as “XXX” ales, date back to 19 century England. We don’t have much reference as to what these historical ales tasted like, but we like to think this is a close representation. Briefly aged in 2nd generation Bourbon barrels to impart traditional oak-cask flavors; lightly hopped for mild-like drinkability; and made with a mix of bready English malts for an intensely rich flavor. This has quickly become one of our Head Brewer’s favorite beers and we sincerely hope you enjoy it too. Read Less"
4848,Extra-Medium Mild,Mild - Other,20,4.0,"English Brown Ale with notes of coffee, chocolate "
4850,Hold the Reins,Mild - Other,18,4.7,Mild - Other
4853,Murloc,Mild - Other,30,4.5,"Full, malt complexity meets fabulous drinkability in this traditional British session beer. All UK Ingredients. Smashing."
4856,The Manchester,Mild - Other,25,4.0,"Uk malt and hops. Malt focused, roasty, toffee, lightly hopped. Our most sessi"
4857,Fiend,Mild - Other,15,3.6,Let us satisfy your craving. We decided to tweak a traditional English Mild by adding coffee. An easy drinking sessionable beer with a light malt profile and just the right amount of beans. Read Less
4858,Hi Bill Hiii,Mild - Other,22,4.3,Mild - Other
4862,The Earl,Mild - Other,29,4.2,"This Earl Grey tea ale is smooth and delightful. So delightful, in fact, that you will feel as though you’re having a tea party with your teddy bears. Read Less"
4864,(I Would Walk) 500 Milds,Mild - Other,18,4.2,Mild - Other
4871,Bob's Your Uncle,Mild - Other,40,4.7,"Taproom & Beer Garden only offering, this lovely English pub ale served on nitro is eas"
4872,Beautiful Harmony,Mild - Other,20,4.6,Mild - Other
4873,English Mild,Mild - Other,15,4.5,"Sessionable malty brew with apricot and plum finishes, with a peach and hazeln"
4877,Brunswick Mum,Mumme,30,5.5,"A clean, slightly roasty dark lager, Brunswick Mum is something beautiful and "
4880,Oaktoberfest,Märzen,24,6.3,"Traditional Marzen lager aged for two months in Heaven Hill Bourbon barrels. Rich malty Munich and Vienna malt characters are mellowed by the Heaven hill oak, while the remaining bourbon trapped in the wood is opened up and fills this lager with aromas of vanilla and caramel. Read Less"
4881,Märzen-Style Ale,Märzen,32,11.0,Märzen
4887,BBA Oktoberfest,Märzen,22,9.5,We took our traditional German style Märzen lager and aged it in bourbon barrels. It has a rich malty flavor with a warming finish from 
4893,Märzen,Märzen,19,5.5,"Touch of light toffee with a spicy, delicate hop. The body is warming and pronounced but finishes dry a"
4896,Märzen,Märzen,20,5.8,"The Traditional beers of Oktoberfest, our Märzen is rich with bready and biscuity aromas. Double Decocted for a rich complex malt"
4899,Bourbon Barrel Aged Oktoberfest,Märzen,26,9.2,Märzen
4902,Barrel Aged Oktoberfest,Märzen,21,8.0,Barrel 
4907,Überfest,Märzen,28,8.0,Märzen
4912,Imperial Oktoberfest,Märzen,35,8.0,Märzen
4913,Oktoberfest Marzen,Märzen,16,6.0,"Our Marzen is a traditional, well balanced, malt forward Oktoberfest. We used primarily Pilsen and light caramel grains with Herschb"
4918,Old Oak,Märzen,22,6.5,This limited release old-style Oktoberfest undergoes 12 weeks of cellaring at 30 degrees Fahrenheit so as to produce the ultimate malt 
4919,Barrel Aged Krostoberfest,Märzen,25,5.5,Märzen
4922,The Kaiser Imperial Oktoberfest,Märzen,24,8.0,Märzen
4924,Same Time Next Year,Märzen,25,7.0,Märzen
4928,Oktoberfest,Märzen,30,5.7,Märzen
4935,Superfood Swell,Non-Alcoholic Beer,35,0.5,Non-Alcoholic Beer
4936,Rainbow Wall,Non-Alcoholic Beer,35,0.5,Non-Alcoholic Beer
4937,Soul Sour,Non-Alcoholic Beer,10,0.5,Non-Alcoholic Beer
4941,Blackberry Berliner Weisse,Non-Alcoholic Beer,8,0.4,Non-Alcoholic Beer
4948,Ready Front,Non-Alcoholic Beer,40,0.5,Non-Alcoholic Beer
4951,Downwinder Gose,Non-Alcoholic Beer,8,0.4,"Seasonal Gose - Notes of sea salt, coriander and lime leaf. Super quenching, sessionable su"
4957,Liquid Rain,Non-Alcoholic Beer,10,0.36,Non-Alcoholic Beer
4958,Rice Helles,Non-Alcoholic Beer,30,0.5,Non-Alcoholic Beer
4959,Pointer,Non-Alcoholic Beer,32,0.5,"Maine’s first non-alcoholic IPA! Juicy and hazy with Amarillo, Cascade, Mosiac and G"
4963,Nature Nut,Non-Alcoholic Beer,30,0.5,Non-Alcoholic Beer
4970,Smooth Ascent - Rise,Non-Alcoholic Beer,5,0.4,Non-Alcoholic Beer
4975,Wit’s Peak,Non-Alcoholic Beer,30,0.5,"Non alcoholic witbier with cues of corriander, citrus"
4979,Free Wave Hazy IPA,Non-Alcoholic Beer,55,0.4,Non-Alcoholic Beer
4981,Fruet (2012),Old Ale,45,15.5,"Fruet is our fourth anniversary ale (2012). It is the same recipe as Papier, but again created using the Solera method. Each year we will continue to blend old barrels of anniversary ale with a new batch of the same beer, adding an additional layer of complexity that will grow over time as we continue to age and blend with each anniversary, creating an older average age to the ale. Fruet is the first in the series that is 100% barrel aged. Read Less"
4990,Old Stock Ale (2014) Cellar Reserve Wheat Whiskey Barrels,Old Ale,34,14.4,"Old Stock Cellar Reserve is a small batch, limited release that has been aged in wheat whiskey barrels. The aging process gives this world-class beer an added layer of complexity. A memorable drink that should be enjoyed as a completely unique offering. Read Less"
5009,Old Perseverance,Old Ale,20,18.5,Ale aged in bourbon barrels with maple syrup and dark muscovado 
5015,Cuir (2011),Old Ale,45,14.5,"Third anniversary ale. Same recipe as Papier (2009) and Cotton (2010). Blended with some barrel aged Papier and Cotton. Flavors of dark fruit, vanilla, oak and burnt sugar. Read Less"
5025,Curmudgeon's Better Half,Old Ale,45,12.7,Old Ale
5027,Coton (2010),Old Ale,45,14.5,"Coton is our second anniversary ale. It is the same recipe as Papier, but created using the Solera method. We blended a portion of Papier that had been aging in oak barrels with this new batch of the same beer, adding an additional layer of complexity that will grow over time as we continue to age and blend with each anniversary, creating an older average age to the ale. Read Less"
5028,Toddy & Sap,Old Ale,11,13.1,Old Ale
5030,Galaxy Dry Hopped Fort Point,Pale Ale - American,45,6.6,Pale Ale - American
5037,Citra Single Hop Pale Ale,Pale Ale - American,65,5.2,"Single hop pale ale bittered, flavored and dry-hopped exclusively with "
5039,Mosaic Dry Hop Pseudo Sue,Pale Ale - American,45,5.8,Pale Ale - American
5040,Zombie Dust,Pale Ale - American,62,6.5,Pale Ale - American
5044,Edward,Pale Ale - American,65,5.2,Pale Ale - American
5049,Galaxy Dry Hop Pseudo Sue,Pale Ale - American,45,5.8,Pale Ale - American
5059,Xhops Pink,Pale Ale - American,60,6.19,"X-Hops pink brings tropical fruit flavors of citrus and pineapple, hints of Bubblegum, and a slight pine finish to the palette that leaves you wanting more! Read Less"
5088,Karaoke Fail,Pale Ale - Australian,37,6.7,"This intensely hoppy pale ale was modeled after the fruit-forward IPAs popular in the North East, with one notable exception: it's entirely hopped with exciting hop varietals from New Zealand including Waimea, Dr. Riding and Wai-Ito for a richly hopped brew. Read Less"
5092,Hand Truck Pale Ale™,Pale Ale - Australian,55,5.7,"International Style Pale Ale. Medium-light body, with a unique hop profile coming from the mix of Simcoe, Mosaic, Galaxy and other un"
5093,Derivative | Sabro,Pale Ale - Australian,10,6.0,"Notes of lime zest, mint julip, earthy, coconut, and the last sip of bourbon when the ice "
5097,What What,Pale Ale - Australian,36,5.8,"Can I get a soft, hazy Pale Ale featuring the tropical flavors of Galaxy hops and the sweet candy aroma of "
5098,Ocean Drive Pale Ale,Pale Ale - Australian,55,5.5,Pale Ale - Australian
5099,Hoo Roo,Pale Ale - Australian,35,6.6,Pale Ale - Australian
5102,Drop Bear Australian Pale Ale,Pale Ale - Australian,35,5.3,Pale Ale - Australian
5106,Double Pacific-Style Ale,Pale Ale - Australian,50,8.4,Pale Ale - Australian
5107,Enigma Crush,Pale Ale - Australian,50,6.0,Pale Ale - Australian
5110,Scully Effect,Pale Ale - Australian,60,6.7,Australian Galaxy and
5111,Green Terrors Juicy Aussie Pale Ale,Pale Ale - Australian,10,5.5,"Our Brewmaster Dave and his long time friend, Andrew Fineran (co-founder of Batch Brewing Company in Sydney, Australia) have united to bring you “Green Terrors” Juicy Aussie Pale Ale! Brewed with Australian-grown hops -- Galaxy, Ella, & Enigma -- for a big juicy, tropical hop profile, this beer is named after the peewee football team Dave and Andrew played for in 5th and 6th grade. Read Less"
5112,Metagalactic Enigma,Pale Ale - Australian,45,5.4,"At Wild Leap, our brew team regularly authors small batch, experimental recipes that are new and unusual. Novel. And like a timeless novel, beer should be adventurous, riveting and intoxicatingly satisfying. This expression of beer art features Galaxy and Enigma hops from Australia. Read Less"
5114,Bondi Beach Party - Aussie Pale Ale,Pale Ale - Australian,45,6.2,Pale Ale - Australian
5116,Business Time,Pale Ale - Australian,40,5.0,"Tropical hops (Nelson Sauvin & New Zealand Cascade), mellow bitterness in a light amber Australian-styl"
5117,Galaxy Pale Ale,Pale Ale - Australian,47,5.1,Pale Ale - Australian
5118,Mischief Maker,Pale Ale - Australian,34,5.1,Pale Ale - Australian
5119,High Tide,Pale Ale - Australian,40,5.0,"2016 Des Moines Beer Week collaboration beer, featuring Australian Summer, Waimea, Topaz, and "
5123,Far Far Away™,Pale Ale - Australian,41,5.7,Pale Ale - Australian
5124,Lachesis Australian Style Pale Ale,Pale Ale - Australian,38,5.5,Introducing FATE Brewing Company’s Pale Ale. This seasonal Pale Ale is brewed with tropical Australian hops (Summer and Galaxy) and a touch of Citra to give this ale bright citrus aromas and flavor. Read Less
5125,Summer,Pale Ale - Australian,44,5.5,A single hopped pale ale featuring Australian Summer hops. Summer hops offer up fruity notes of apricot
5127,Drop Bear,Pale Ale - Australian,70,9.0,Generously hopped with Nelson Sauvin from New Zealand with a warming alc
5132,The Bifurcation Project: Citra-Loaded Newlin's Original Belgian Oatmeal Pale,Pale Ale - Belgian,42,5.2,Pale Ale - Belgian
5133,Flemish Kiss,Pale Ale - Belgian,28,5.7,"A pale ale with a subtle kiss of Flanders. Brewed predominantly with organic 2- row, the malt bill is rounded out with organic light munich, organic 60L crystal and caravienna. Northwest Golding and Hallertauer hops provide a pleasant hop character. Right out primary fermentation this beer is decidedly a pale ale, but as it enters secondary a bridge to Belgium is built with a dose of brettanomyces bruxellensis. The beer is allowed to mature for about five weeks before it is packaged. This offers just a hint of brett character while maintaining a fruit laden nose from the Northwest hops. Read Less"
5137,Bailey's Taproom 10th Anniversary,Pale Ale - Belgian,15,5.5,This amazing collaboration starts with a Belgian Pale base that is aged in Chardonnay barrels with a saccharomyces yeast. We then dry hop and bottle condition it with farmhouse yeast. Happy 10th anniversary to our pals at Bailey’s! Read Less
5139,Brett Brux Pale,Pale Ale - Belgian,30,6.9,"Although Brett wild yeasts fell out of favor after the Industrial revolution for being too unwieldy, pFriem has reintroduced them in our Brett Brux Pale. Its flavors of plum, spice and green tomato, paired with an effervescent finish and lingering bitterness will have you toasting Brett’s big come back. Read Less"
5146,Radth,Pale Ale - Belgian,43,7.0,Pale Ale - Belgian
5149,A Wonderful Trip,Pale Ale - Belgian,43,7.0,Pale Ale - Belgian
5156,The Bifurcation Project: Wild Newlin's Original Belgian Oatmeal Pale,Pale Ale - Belgian,34,5.6,Pale Ale - Belgian
5158,Brett & No Mices,Pale Ale - Belgian,30,6.5,"Instead of just complaining, there is no hopefully enough or a chance that some of you will take notice of the subtle vinous oak character, and funky old timey taste of this 10 month barrel-aged and dry-hopped Belgian-style pale ale. Read Less"
5159,WF01 Pale Ale,Pale Ale - Belgian,37,5.6,Pale Ale - Belgian
5160,Java the Hop Coffee Pale Ale,Pale Ale - Belgian,30,5.7,Pale Ale - Belgian
5168,Barrel-Aged Unionist,Pale Ale - Belgian,25,6.4,In honor of Barrel-Aged Beer Day 2016 we've released Barrel-Aged Unionist. This version of our Belgian-Style Pale Ale is aged in Red Wine barrels with the addition of Brettanomyces. Read Less
5169,Brett Trois Pale,Pale Ale - Belgian,30,6.9,"Another wild yeast works its flavorful magic in pFriem Brett Trois Pale. Its aromas of pineapple, earth, and a touch of must, funky notes of pie cherry, white pepper and black tea will make it disappear down your throat before you can say abracadabra. Read Less"
5174,Diplomatic Immunity,Pale Ale - Belgian,65,5.64,Belgi
5175,Stack N Stabb,Pale Ale - Belgian,38,8.5,This spicy and bracing Belgian style pale ale is dedicated to those warriors that truly stack and stab in the heat
5178,De Hele,Pale Ale - Belgian,20,5.5,Belgian Single brewed with Belgian malt and hopped with Styrian Gol
5179,3445 Miles Turbid Pale Ale,Pale Ale - Belgian,60,6.5,"A collaboration with Church Brew Works. Cloudy ale meets Belgian yeast. 3445 mi is the distance from the home of Turbid Ale (Stowe, VT) to the capital of Belgian (Brussels). Read Less"
5182,Breakfast of Thrones,Pale Ale - English,30,7.5,Pale Ale - English
5184,White Arrow Pine Ale,Pale Ale - English,35,6.0,Pale Ale - English
5186,Unfiltered DBA (Double Barrel Ale),Pale Ale - English,30,5.0,Pale Ale - English
5189,"Royal Scandal, Dry Hopped",Pale Ale - English,36,6.5,Pale Ale - English
5191,Tessy's Pale Ale,Pale Ale - English,46,5.8,"A crisp, hoppy west-coast style pale ale-- perfect for "
5192,A Hoppier Shade of Pale,Pale Ale - English,27,6.1,Pale Ale - English
5195,Cabertoss,Pale Ale - English,12,5.2,Scottish Sty
5196,Monka Coffee Ale,Pale Ale - English,20,5.0,Coffee infused light ale. Guessing o
5197,Royal Scandal,Pale Ale - English,36,6.5,Pale Ale - English
5206,Unfiltered Hoppy Digital Nitro,Pale Ale - English,20,5.2,Pale Ale - English
5208,Broomchucker,Pale Ale - English,38,5.0,Pale Ale - English
5211,Union Jack English Pub Ale,Pale Ale - English,25,4.8,The classic English pale ale enjoyed in pubs around
5212,Glancing Blow,Pale Ale - English,35,5.0,Pale Ale - English
5214,Pale By Rail,Pale Ale - English,30,5.3,Pale Ale - English
5215,Sobremesa,Pale Ale - English,28,8.1,Tequila barrel aged Imperial English Pale Ale with Lime Zest and Ag
5217,Draft Lab: English Summer,Pale Ale - English,26,5.0,"Full of flavor, yet light and sessionable, English Summer was built to beat the heat. Starting with premium English pale ale malt and a hefty portion of wheat, we added a blend of English and American hops that add bright citrus notes. A soft clean finish makes room for another. Read Less"
5218,Organic Pale Ale,Pale Ale - English,32,5.9,Pale Ale - English
5219,Poor Tom,Pale Ale - English,35,5.2,Pale Ale - English
5221,Nahual Coffee Chocolate Pale,Pale Ale - English,20,6.8,"English pale ale made with TCHO cocoa nibs and Simpatico ""Way Darker"" Cold Br"
5223,Summer Pale,Pale Ale - English,40,5.0,Pale Ale - English
5224,Paiute Pale,Pale Ale - English,44,6.2,Pale Ale showcasing Centennial and Amarillo hops from the Pacific
5228,Wartime Novelty,Pale Ale - English,22,6.0,A malty English style pale with lots of floral Gol
5230,Kushy Clouds,Pale Ale - International,35,5.5,Pale Ale - International
5234,Valkyrie,Pale Ale - International,40,7.3,Pale Ale - International
5238,Pivot,Pale Ale - International,46,5.1,Pale Ale - International
5241,Tropulus Ipa,Pale Ale - International,30,6.2,Pale Ale - International
5242,Flippin' Delicious,Pale Ale - International,40,6.3,Pale Ale - International
5243,Mimosa or Pale?,Pale Ale - International,25,5.2,Pale Ale - International
5247,Mind the Gap,Pale Ale - International,50,5.7,"An English Inspired Summer Pale Ale featuring London Ale Yeast, East Kent Golding & Ca"
5250,Menehune,Pale Ale - International,32,5.1,Pale Ale - International
5251,Imperial Vienna Pale Ale,Pale Ale - International,60,8.0,Pale Ale - International
5254,Norwegian Pale Ale,Pale Ale - International,27,6.7,Pale Ale - International
5265,Road Trip Co-Pilot,Pale Ale - International,36,4.8,Pale Ale - International
5267,Hops Over Hype,Pale Ale - International,30,4.8,"A dry-hopped mash-up of NZ Motueka, US Sabro/Strata, and AU Galaxy. Malt bill includes Golden Promise and torrefied wheat. No fruit. No lactose. No vanilla beans. No problem.
2019:
Gold - Ohio Craft Brewers Cup Read Less"
5268,Dingo,Pale Ale - International,42,5.4,Southern Hemisphere pale ale. Nelson Sauvin and Dr
5269,Sauna Beer,Pale Ale - International,35,5.4,Pale Ale - International
5271,Japanese Pale Ale,Pale Ale - International,64,7.2,IPA brewed with Sorachi Ace Japanese hops and a bit of rice to lighte
5272,Yo Ese,Pale Ale - International,11,4.5,Pale Ale - International
5273,Vibe Check Pale,Pale Ale - International,38,5.5,Pale Ale - International
5277,Parallax Ale,Pale Ale - International,28,4.6,Pale Ale - International
5278,Red Maembe,Pale Ale - International,45,5.5,"""Silver Medal Winner"" Maembe is Swahili for mango and that is exactly what we added to this pale ale to give it a tropical feel. No matter what time of year you drink it, you will feel like you're in paradise. Centennial and Cascade are used to give it a nice hope background. Read Less"
5279,Free Rise,Pale Ale - International,33,6.4,Pale Ale - International
5285,Pineapple Milkshake Pale Ale,Pale Ale - Milkshake,10,5.9,"Hazy, New England-style Pale Ale brewed with lactose and fresh pineapple- then aged on Madagascar Van"
5294,Strawberry Milkshake Pale Ale,Pale Ale - Milkshake,8,5.9,Pale Ale - Milkshake
5295,Pineapple Orange Banana Milkshake Pale Ale,Pale Ale - Milkshake,5,5.9,"Hazy, milkshake-style pale ale brewed with lactose and fresh pineapples, oranges and bananas. Conditioned on Madagascar Van"
5300,Hazy Coffee J.A.W.N. Latte,Pale Ale - Milkshake,20,5.2,Pale Ale - Milkshake
5304,Smoovie Fixins,Pale Ale - Milkshake,5,6.1,Pale Ale - Milkshake
5307,Blueberry Cobbler Milkshake Pale Ale,Pale Ale - Milkshake,9,5.4,Pale Ale - Milkshake
5308,Strawberry Smoothie EPA,Pale Ale - Milkshake,37,5.7,Extra Pale Ale made with local strawberries 
5312,Zero Visibility: Milkshake Edition,Pale Ale - Milkshake,55,6.0,Pale Ale - Milkshake
5313,All Scream,Pale Ale - Milkshake,45,5.9,Pale Ale - Milkshake
5315,"A Natural, Zesty Enterprise",Pale Ale - Milkshake,20,5.8,Lemon key lime vanilla and lavender hopped with centennial 
5317,Twist Milkshake,Pale Ale - Milkshake,1,5.6,"Sweet & creamy flavors of a chocolate and vanilla twist ice cream sundae. Brewed with Ghana Cocoa nibs, Madagascar vanilla beans, and "
5319,Peach Raspberry Milkshake,Pale Ale - Milkshake,5,5.6,Pale Ale - Milkshake
5320,Lunch Box,Pale Ale - Milkshake,8,6.0,Shakin
5323,Double Vanilla Pineapple Milkshake,Pale Ale - Milkshake,1,5.6,Pale Ale - Milkshake
5326,Apple Pie Milkshake,Pale Ale - Milkshake,7,5.6,Pale Ale - Milkshake
5327,Banana Split Milkshake,Pale Ale - Milkshake,1,5.6,Pale Ale - Milkshake
5329,Cherry Vanilla Milkshake,Pale Ale - Milkshake,1,5.5,"Decadent flavors of sweet Bing, Lambert, and Royal Ann cherries on top of creamy vanilla milkshake goodness. Contai"
5331,Double Dry Hop Pseudo Sue,Pale Ale - New England / Hazy,45,5.8,Pale Ale - New England / Hazy
5332,Prima Materia,Pale Ale - New England / Hazy,35,5.4,Prima Materia is our Multi-oat/Wheat Pale Ale that is brewed and aggressively dry hopped with a proprietary ble
5337,Death Party,Pale Ale - New England / Hazy,30,6.3,Multi-oat/Wheat Extra Pale Ale brewed and dry hopped with Ame
5345,Double Dry Hopped (DDH) Hoppy Meal,Pale Ale - New England / Hazy,35,6.6,Hoppy Meal with an additional dry hop of Simcoe 
5351,Double Dry Hopped (DDH) Sparkle Motion,Pale Ale - New England / Hazy,30,6.0,American Pale Ale double dry hopped with Galaxy
5356,Citra Crush,Pale Ale - New England / Hazy,50,6.0,Crushable Citra Ha
5360,Embers,Pale Ale - New England / Hazy,45,5.8,Pale Ale - New England / Hazy
5365,DDH Everything Eventually Mosaic,Pale Ale - New England / Hazy,40,5.9,Pale Ale - New England / Hazy
5381,Christopher Riwakan,Pale Ale - New Zealand,22,5.7,Pale Ale - New Zealand
5383,Moke,Pale Ale - New Zealand,80,5.9,New Zealand Pale Ale. Nelson Sauvin and K
5389,Dymaxion,Pale Ale - New Zealand,40,5.5,"New Zealand hopped pale ale w/ Riwaka, Motueka, and Experiment"
5392,Noblebright,Pale Ale - New Zealand,25,5.2,Pale Ale - New Zealand
5397,Discovery Series - Motueka,Pale Ale - New Zealand,36,5.8,Pale Ale - New Zealand
5398,Urban Trail Hoppy Pale Ale,Pale Ale - New Zealand,39,6.0,"A simple malt bill allows the hops to shine in this easy-drinking pale ale. Bursting with American hop flavor from multiple kettle additions and finished with Simcoe, Amarillo, Citra, and Mosaic hops in the hopback and fermenter. Expect bright citrus and tropical fruit notes, followed by a crisp finish that keeps you coming back for more. Read Less"
5400,Seventh Snooze,Pale Ale - New Zealand,18,5.7,Pale Ale - New Zealand
5402,Exit Buddy,Pale Ale - New Zealand,65,6.7,Pale Ale - New Zealand
5407,Kia Kaha,Pale Ale - New Zealand,30,5.0,Pale Ale - New Zealand
5409,Picnic in Tasmania,Pale Ale - New Zealand,30,5.3,Pale Ale - New Zealand
5411,Electrify,Pale Ale - New Zealand,43,5.0,"A beautifully hazy pale ale featuring Wakatu, Motueka and Idaho 7 hops for aromas of fresh crushed citrus and ora"
5412,Golden Ratio NZ Pale,Pale Ale - New Zealand,45,5.4,"New Zealand Pale Ale. Kohatu, Motueka, Wai-iti & Nectaron hops. Flavors/aroma of Southern Hemisphere Pineapple & Trop"
5417,41 South - International Pale Ale,Pale Ale - New Zealand,38,5.8,Pale Ale - New Zealand
5418,Major Nelson Pale Ale,Pale Ale - New Zealand,35,5.5,"American Pale Ale dry hopped with major amounts of Nelson Sauvin. Citra, and Mosaic hops. Tropical, citrusy hops with a touch of honeylike malt sweetness. Read Less"
5420,Sauvin Nation,Pale Ale - New Zealand,45,5.4,"At Wild Leap, our brew team regularly authors small batch, experimental recipes that are new and unusual. Novel. And like a timeless novel, beer should be adventurous, riveting and intoxicatingly satisfying. This expression of beer art features Nelson Sauvin hops from New Zealand. Read Less"
5423,Baldwin St. IPA,Pale Ale - New Zealand,30,6.1,Pale Ale - New Zealand
5425,New Zealand XPA,Pale Ale - New Zealand,46,5.2,Pale Ale - New Zealand
5426,Motueka Pale Ale,Pale Ale - New Zealand,20,5.9,A refreshing hazy pale ale packed with 100% New Zealand Mo
5440,Bohemian Pilsner,Pilsner - Czech,42,5.0,Pilsner - Czech
5443,Haüs Pilz,Pilsner - Czech,32,5.4,Pilsner - Czech
5451,Ornaments of the Reckoning,Pilsner - Czech,40,5.6,Pilsner - Czech
5455,Premiant,Pilsner - Czech,40,5.0,Pilsner - Czech
5456,Gravel Beach,Pilsner - Czech,30,4.4,Pilsner - Czech
5457,Patience & Fortitude,Pilsner - Czech,37,4.7,Pilsner - Czech
5459,Pohlednice,Pilsner - Czech,30,4.7,"Rooted in tradition, our Světlý Ležák 12° is triple decocted and brewed with imported Moravian barley and"
5462,Glint,Pilsner - Czech,40,5.1,"Czech Keller Pilsner, li"
5463,Bič,Pilsner - Czech,20,4.4,Hops: Saaz Malts: Bohemian Pilsner Sauermaiz Vien
5465,Chopping Wood - Czech Pilsner,Pilsner - Czech,40,5.0,Pilsner - Czech
5466,Bohemian Pilsner,Pilsner - Czech,38,5.8,One of the best renditions of the Bohemian style Pilsner using all German malts and Czech and German hops! Multi award winning Pilsner 
5467,Little Patience,Pilsner - Czech,29,3.8,Pilsner - Czech
5470,Pilsner,Pilsner - Czech,25,5.0,Czech Inspi
5477,Bəˈrēk 12°,Pilsner - Czech,30,5.1,Pilsner - Czech
5486,American Reinheitsgebot Pilsner,Pilsner - German,30,4.7,"Collab with Bierstadt Lagerhaus

The Reinheitsgebot is the German purity law stating beer must be made using only water, malt, hops, & yeast. Early German immigrant brewers had to throw this rule out the window in order to brew beer with ingredients on hand, i.e. Cheap corn, rice & poor quality barley. This year we teamed up with Bierstadt Lager of Denver Colorado to brew this classic German-style Pilsner using all American ingredients including Crystal hops from the Hop Head Farms in Michigan & California grown, floor malted grain from Admiral Maltings of Alameda, CA & releasing it on the 504th anniversary of the Reinheitsgebot, April 23, 2020, bringing glory back to the American made lager. Prost! Read Less"
5487,Slow Pour Pils,Pilsner - German,20,5.1,Pilsner - German
5488,R&H Pilsner,Pilsner - German,37,4.9,Pilsner - German
5489,Pils,Pilsner - German,30,4.9,Pilsner - German
5493,Contrition (2020),Pilsner - German,32,4.8,"A humble offering. The tax paid for our sins. For among the catacombs of our prized memoirs, we shall uncover the prestige of elegance through the veil of simplicity. Made with a decoction of 100% German Pilsner malt to maximize the capability of this remarkable grain. Hopped extensively in our whirlpool with Grungeist, Saaz and Hallertau Blanc. A beautiful complexion of culinary compliment. Your repeatable drinkable, dream-fulfiller. Read Less"
5495,Mary,Pilsner - German,60,4.6,Pilsner - German
5497,Rotating Hop Pilsner: Willamette,Pilsner - German,35,4.8,"Features Willamette hops from the Pacific NW bringing a subtle spiciness with herbal, floral, and fr"
5519,Beachwood 13,Pilsner - German,35,5.2,Pilsner - German
5520,Teutonic Distortion,Pilsner - German,40,5.5,Pilsner - German
